API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude
42389348350000,2015-04-06,2015-05-18,2015-08-26,2016-01-01 00:00:00.000,EOG RESOURCES INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.612255922,-103.815606629,31.620759999999997,-103.81397
42301324300100,2014-10-30,2015-02-24,2015-07-02,2015-06-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.654455219000003,-103.432865958,31.66348,-103.42081
42173363630000,2014-02-28,2014-05-30,2014-09-20,2014-09-01 00:00:00.000,LAREDO PETROLEUM INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,GLASSCOCK,31.738861001999997,-101.376582054,31.711129999999997,-101.3678
42383389170000,2014-06-28,2014-09-17,2015-03-03,2015-02-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.381801994,-101.62166520299999,31.40816,-101.63043
42301318580400,2012-10-04,2013-01-23,2014-04-26,2013-04-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.912322106999998,-103.894755781,31.89838,-103.8938
42475365410000,2013-09-06,2013-10-20,2014-02-23,2014-02-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,WARD,31.564747565,-103.36462392700001,31.5531,-103.3761
42389340360000,2013-12-05,2014-03-13,2014-06-20,2014-06-01 00:00:00.000,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.568039172,-103.82724910700001,31.58339,-103.82425
42389340650000,2014-01-02,2014-02-10,2014-04-27,,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.728896329,-103.755054107,31.737990000000003,-103.7369
42301322220000,2014-06-12,2014-11-07,2015-03-13,2015-03-01 00:00:00.000,EOG RESOURCES INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.822189258,-103.34329971700001,31.80935,-103.33766999999999
42219373200100,2014-04-10,2014-05-25,2015-01-13,2014-12-01 00:00:00.000,ENPOWER RESOURCES INC,WOLFCAMP,PERMIAN BASIN,TEXAS,HOCKLEY,33.639306757,-102.309522905,33.661190000000005,-102.30759
42389348850000,2015-05-28,2015-06-20,2015-10-12,2015-08-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.839386144000002,-103.876168921,31.8253,-103.87536999999999
42135429600000,2014-03-08,2014-04-27,2014-08-29,2014-08-01 00:00:00.000,APACHE CORPORATION,TUBB,PERMIAN BASIN,TEXAS,ECTOR,31.894536885999997,-102.719387469,31.88038,-102.71548
42383387920000,2014-06-11,2014-10-23,2015-04-16,2015-04-01 00:00:00.000,EARTHSTONE OPERATING LLC,SPRABERRY,PERMIAN BASIN,TEXAS,REAGAN,31.398146259,-101.64937113799999,31.37665,-101.63974
